Agency,State,DirectSharing,NVLS,2016Detections,2016Hits,2017Detections,2017Hits,2016To2017Detections,2016To2017Hits,AllTimeDetections,AllTimeHits,DataSharingLink,2016HitRatioReport,2017HitRatioReport,2016DetectionReport,2016HitReport,2017DetectionReport,2017HitReport,CombinedDetectionHit Data
Fort Worth Police Department,TX,102,Y,"769,745","19,092","993,706","20,448","1,763,451","39,540",,,https://www.documentcloud.org/documents/4432188-Data-Sharing-Report-Fort-Worth-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4780848-2018-Vigilant-Data-Sharing-Information-Fort.html#document/p4/a449317
Fountain Valley Police Department,CA,Not Provided,,"422,340",119,"6,111",4,"428,451",123,,,,https://www.documentcloud.org/documents/4858030-Fountain-Valley-Police-Department-Hit-Ratio.html,https://www.documentcloud.org/documents/4858029-Fountain-Valley-Police-Department-Hit-Ratio.html,,,,,
Frisco Police Department,TX,14,,"857,234","1,272","517,412",488,"1,374,646","1,760",,,https://www.documentcloud.org/documents/4432189-Data-Sharing-Report-Frisco-Police-Department.html,,,http://www.documentcloud.org/documents/4439327-Frisco-Police-Department-Detection-Report-2016.html,http://www.documentcloud.org/documents/4439316-Frisco-Police-Department-Hit-Report-2016.html,http://www.documentcloud.org/documents/4439315-Frisco-Police-Department-Detection-Report-2017.html,http://www.documentcloud.org/documents/4439307-Frisco-Police-Department-Hit-Report-2017.html,
Fullerton Police Department,CA,90,Y,"955,154",525,"358,270",196,"1,313,424",721,,,https://www.documentcloud.org/documents/4802029-Data-Sharing-Report-Fullerton-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4878368-Fullerton-Police-Department-Detection-Hit-Data.html
Gainesville Police Department,FL,65,,"113,403","2,722","22,674",388,"136,077","3,110",,,https://www.documentcloud.org/documents/4432190-Data-Sharing-Report-Gainesville-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439308-Gainesville-Police-Department-Untitled-Report.html
Galt Police Department,CA,162,Y,"87,377",33,"18,023",12,"105,400",45,,,https://www.documentcloud.org/documents/4432191-Data-Sharing-Report-Galt-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4755887-Galt-Police-Department-Hit-Ratio-Report-2016-2017.html
Galveston Auto Theft Task Force ,TX,91,Y,"274,340,114","410,273","490,937,731","531,013","765,277,845","941,286",,,https://www.documentcloud.org/documents/4802030-Data-Sharing-Report-Galveston-Auto-Theft-Task.html,https://www.documentcloud.org/documents/4878384-Galveston-Auto-Theft-Task-Force-Hit-Ratio-Report.html,https://www.documentcloud.org/documents/4878385-Galveston-Auto-Theft-Task-Force-Hit-Ratio-Report.html,,,,,
Garden Grove Police Department,CA,82,Y,"1,217,086","1,834","250,773","1,094","1,467,859","2,928",,,https://www.documentcloud.org/documents/4432192-Data-Sharing-Report-Garden-Grove-Police-Department.html,http://www.documentcloud.org/documents/4439309-Garden-Grove-Police-Department-Hit-Ratio-Report.html,http://www.documentcloud.org/documents/4439310-Garden-Grove-Police-Department-Hit-Ratio-Report.html,,,,,
Gardena Police Department,CA,155,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,"962,274",469,https://www.documentcloud.org/documents/4802031-Data-Sharing-Report-Gardena-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4878430-Gardena-Police-Department-Hit-Ratio-Report-All.html
Georgia Tech Police Department,GA,Not Provided,,"1,997,609","25,058","3,140,309","39,826","5,137,918","64,884",,,,https://www.documentcloud.org/documents/4559469-Georgia-Tech-Police-Department-Hit-Ratio-Report.html,https://www.documentcloud.org/documents/4559470-Georgia-Tech-Police-Department-Hit-Ratio-Report.html,,,,,
Giddings Police Department,TX,137,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,http://www.documentcloud.org/documents/4502426-Data-Sharing-Report-Giddings-Police-Department.html,,,,,,,
Glendora Police Department,CA,173,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432193-Data-Sharing-Report-Glendora-Police-Department.html,,,,,,,
Golden Beach Police Department,FL,0,Y,Not Provided,"266,575",Not Provided,"150,374",Not Provided,"416,949",,,http://www.documentcloud.org/documents/4502428-Data-Sharing-Report-Golden-Beach-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4953801-Golden-Beach-Police-Department-Detections-Hits.html
Grand Junction Police Department,CO,88,Y,"2,814,352","15,351","2,780,920","12,537","5,595,272","27,888",,,http://www.documentcloud.org/documents/4502427-Data-Sharing-Report-Grand-Junction-Police.html,https://www.documentcloud.org/documents/4559397-Grand-Junction-Police-Department-Hit-Ratio.html,https://www.documentcloud.org/documents/4559396-Grand-Junction-Police-Department-Hit-Ratio.html,,,,,
Grand Prairie Police Department,TX,21,Y,"593,197","6,802","460,757","4,770","1,053,954","11,572",,,https://www.documentcloud.org/documents/4432194-Data-Sharing-Report-Grand-Prairie-Police.html,http://www.documentcloud.org/documents/4439311-Grand-Prairie-Police-Department-Hit-Ratio-Report.html,http://www.documentcloud.org/documents/4439312-Grand-Prairie-Police-Department-Hit-Ratio-Report.html,,,,,
Greece Police Department,NY,38,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4802051-Data-Sharing-Report-Greece-Police-Department-NY.html,,,,,,,
Griffith Police Department,IN,11,Y,"268,572","8,478","1,081,699","37,063","1,350,271","45,541",,,https://www.documentcloud.org/documents/4559245-Data-Sharing-Report-Griffith-Police-Department.html,https://www.documentcloud.org/documents/4560284-Griffith-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4560285-Griffith-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Grosse Ile Police Department,MI,24,Y,"3,850,227","3,280","4,559,777","3,229","8,410,004","6,509",,,http://www.documentcloud.org/documents/4502416-Data-Sharing-Report-Grosse-Ile-Police-Department.html,https://www.documentcloud.org/documents/4559395-Grosse-Ile-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559394-Grosse-Ile-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Guadalupe County Constables,TX,816,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,"1,773,436","5,264",https://www.documentcloud.org/documents/4559252-Data-Sharing-Report-Guadalupe-County-Constables.html,,,,,,,https://www.documentcloud.org/documents/4783149-Guadalupe-County-Constables-Detections-Hits-All.html
Gwinnett Police Department,GA,34,Y,n/a,n/a,n/a,n/a,0,0,,,https://www.documentcloud.org/documents/4432196-Data-Sharing-Report-Gwinnett-County-Police.html,,,,,,,
Hamilton County Sheriff's Office,IN,76,Y,"9,337",195,"401,884","8,553","411,221","8,748",,,https://www.documentcloud.org/documents/4802033-Data-Sharing-Report-Hamilton-County-Sheriff-In.html,https://www.documentcloud.org/documents/4878442-Hamilton-County-Sheriff-in-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4878443-Hamilton-County-Sheriff-in-Hit-Ratio-Report-2017.html,,,,,
Hawthorne Police Department,CA,6,,"15,857,736",0,"18,127,422","8,087","33,985,158","8,087",,,https://www.documentcloud.org/documents/5001584-Hawthorne-Police-Department-Data-Sharing-Report.html,https://www.documentcloud.org/documents/5001586-Hawthorne-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/5001587-Hawthorne-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Hickory Hills Police Department,IL,717,Y,"170,735",357,"120,118",445,"290,853",802,,,https://www.documentcloud.org/documents/4802034-Data-Sharing-Report-Hickory-Hills-Police.html,,,,,,,https://www.documentcloud.org/documents/4878448-Hickory-Hills-Police-Department-Hit-Ratio-Report.html
Highland Park Department of Public Safety,CA,251,,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4559242-Data-Sharing-Report-Highland-Park-Department-of.html,,,,,,,
Hill Country Village Police Department,TX,3,Y,"65,244",65,"33,480",25,"98,724",90,,,https://www.documentcloud.org/documents/4559259-Data-Sharing-Report-Hill-Country-Village-Police.html,https://www.documentcloud.org/documents/4857923-Hill-Country-Village-Police-Department-Hit-Ratio.html,https://www.documentcloud.org/documents/4857924-Hill-Country-Village-Police-Department-Hit-Ratio.html,,,,,
Hinesville Police Department,GA,Not Provided,,"99,781","1,120","118,564","1,186","218,345","2,306",,,,,,,,,,https://www.documentcloud.org/documents/4906666-Hinesville-Police-Department-Detections-Hits.html
Hiram Police Department,GA,833,Y,"22,457",303,"9,932",122,"32,389",425,,,https://www.documentcloud.org/documents/4501408-Hiram-Police-Department-Data-Sharing-Report.html,https://www.documentcloud.org/documents/4559413-Hiram-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559412-Hiram-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Hogansville Police Department,GA,233,Y,Not Provided,Not Provided,Not Provided,Not Provided,"196,280","2,459",,,http://www.documentcloud.org/documents/4502420-Data-Sharing-Report-Hogansville-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4639694-Hogansville-Police-Department-Hit-Ratio-2016-2017.html
Indian Creek Police Department,FL,38,,n/a,956,"140,440","3,446","140,440","4,402",,,http://www.documentcloud.org/documents/4502421-Data-Sharing-Report-Indian-Creek-Village-Police.html,,https://www.documentcloud.org/documents/4559393-Indian-Creek-Village-Hit-Ratio-Report-2017.html,,,,,
