RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
AZPIMA029,Pima County Sheriff's Department,Tucson,Pima County,AZ,Sheriff,County,Automated License Plate Readers,,"The Pima County Sheriff’s Department has five ALPR units, but its plans to expand its ALPR use through similar Operation Stonegarden grant was rejected by officials in 2019. ",https://web.archive.org/web/20190820213558/http://www.tucsonsentinel.com/local/report/050719_stonegarden_supes/pima-county-oks-stonegarden-border-funding-3-2-vote/,http://web.archive.org/web/20190820224747/https://web.archive.org/web/20190820213558/http://www.tucsonsentinel.com/local/report/050719_stonegarden_supes/pima-county-oks-stonegarden-border-funding-3-2-vote/,New Article,Tucson Sentinel,5/7/2019,,http://webcms.pima.gov/UserFiles/Servers/Server_6/File/Government/Clerk%20of%20the%20Board/BCC/CLEPC/4.8_Item%206_SD_CLEPCRequestforInformation.pdf,,,http://web.archive.org/web/20190820224721/http://webcms.pima.gov/UserFiles/Servers/Server_6/File/Government/Clerk%20of%20the%20Board/BCC/CLEPC/4.8_Item%206_SD_CLEPCRequestforInformation.pdf,,,,,,,,,
AZPIMA013,Pima County Sheriff's Department,Tucson,Pima County,AZ,Sheriff,County,Drones,,"Pima County Sheriff’s Department also purchased two drones in 2019. According KGUN 9, the primary use will be to document traffic accident scenes, but the drones may also be used to support SWAT operations. However, KGUN reports, “they are not going to use it for any sort of general day to day surveillance.”",https://www.kgun9.com/operation-safe-roads/pima-sheriffs-dept-launching-drone-program,http://web.archive.org/web/20190820224646/https://www.kgun9.com/operation-safe-roads/pima-sheriffs-dept-launching-drone-program,New Article,KGUN 9 ,2/25/2019,,https://pimasheriff.org/application/files/7115/6346/6465/Pima_County_Sheriffs_Department_Strategic_Plan_2018_-_2021.pdf,,,https://web.archive.org/web/20190903185541/https://pimasheriff.org/application/files/7115/6346/6465/Pima_County_Sheriffs_Department_Strategic_Plan_2018_-_2021.pdf,,,,,,,,,
AZPIMA004,Sahuarita Police Department,Sahuarita,Pima County,AZ,Police,Municipal,Body-worn Cameras,Axon,"Sahuarita Police Department began its body-worn camera program in 2017. As of 2019, SPD had 49 body-worn camera.  ",https://www.sahuaritasun.com/news/some-sahuarita-officers-now-wearing-body-cameras/article_d9f52482-c0c1-11e7-9077-7f3a87cf1e17.html,http://web.archive.org/web/20190820224634/https://www.sahuaritasun.com/news/some-sahuarita-officers-now-wearing-body-cameras/article_d9f52482-c0c1-11e7-9077-7f3a87cf1e17.html,New Article,Sahuarita Sun,11/3/2017,,http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,,,http://web.archive.org/web/20190820225915/http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,,,,,,,,,
AZPIMA003,Sahuarita Police Department,Sahuarita,Pima County,AZ,Police,Municipal,Drones,,"With the purchase of two quadrotors in 2016, Sahuarita Police Department became the first local law enforcement agency in Arizona to deploy drones. The wide variety of authorized uses include public safety missions, such as searching for lost of missing people or suspects at large, monitoring emergency situations, and documenting crime scenes, but the drones may also be used for creating marketing materials for the town.",https://youtu.be/zLKAUf25snw https://bloximages.chicago2.vip.townnews.com/sahuaritasun.com/content/tncms/assets/v3/editorial/3/04/3042f3cc-d46f-11e6-afbe-93eb8441ef66/587034bc445ae.pdf.pdf,http://web.archive.org/web/20190820224633/https://www.sahuaritasun.com/news/sahuarita-police-drones-are-now-on-the-job/article_ab3f43d8-d46e-11e6-8066-3fd31cf179cc.html,New Article,Sahuarita Sun,1/8/2017,,https://bloximages.chicago2.vip.townnews.com/sahuaritasun.com/content/tncms/assets/v3/editorial/3/04/3042f3cc-d46f-11e6-afbe-93eb8441ef66/587034bc445ae.pdf.pdf,,,,,,,,,,,,
AZPIMA008,South Tucson Police Department,South Tucson,Pima County,AZ,Police,Municipal,Body-worn Cameras,Axon,"Meeting minutes from the South Tuscon City Council show that South Tucson Police Department received funding from the Tohono O’Odham Nation to purchase body-worn cameras for all its officers in 2015. As of a 2018 meeting, the police continued to use the cameras and sought grant funding for a new server to store body camera footage and other digital evidence. ",https://www.southtucsonaz.gov/sites/default/files/fileattachments/city_council/meeting/1207/mn101915.pdf,http://web.archive.org/web/20190820224640/https://www.southtucsonaz.gov/sites/default/files/fileattachments/city_council/meeting/1207/mn101915.pdf,Info on a government website,South Tucson,8/14/2017,,https://www.southtucsonaz.gov/sites/default/files/fileattachments/city_council/meeting/1165/mn081417.pdf,http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,,http://web.archive.org/web/20190820225927/https://www.southtucsonaz.gov/sites/default/files/fileattachments/city_council/meeting/1165/mn081417.pdf,http://web.archive.org/web/20190820225915/http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,,,,,,,,
AZPIMA019,Tucson Police Department,Tucson,Pima County,AZ,Police,Municipal,Artificial Intelligence,Forensic Logic ,COPLINK is a database analysis system developed by Tucson Police Department and the University of Arizona Artificial Intelligence Lab. COPLINK allows law enforcement to mine and analyze data across multiple databases in investigations using AI algorithms.,https://www.tucsonaz.gov/police/technology-initiatives,http://web.archive.org/web/20160708030129/https://www.tucsonaz.gov/police/technology-initiatives,Info on a government website,City of Tucson,,,https://mijente.net/wp-content/uploads/2018/10/WHO’S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations_v3-.pdf,,,https://mijente.net/wp-content/uploads/2018/10/WHO‚ÄôS-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations_v3-.pdf,,,,,,,,,
AZPIMA015,Tucson Police Department,Tucson,Pima County,AZ,Police,Municipal,Body-worn Cameras,," As of January 2019, Tucson police had more than 500 body-worn cameras and was seeking funding for 129 more devices. ",http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,http://web.archive.org/web/20190820225915/http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,Public Records,Tucson City Attorney ,1/14/2019,,"https://www.tucsonaz.gov/files/police/Body_Worn_Camera_Presentation_moded.pdf
",https://www.tucsonaz.gov/files/police/BWC_User_Manual_PDF.pdf,,http://web.archive.org/web/20190820224659/https://www.tucsonaz.gov/files/police/Body_Worn_Camera_Presentation_moded.pdf,http://web.archive.org/web/20190820224708/https://www.tucsonaz.gov/files/police/BWC_User_Manual_PDF.pdf,,,,,,,,
AZPIMA017,Tucson Police Department,Tucson,Pima County,AZ,Police,Municipal,Camera Registry,,The Tucson Police Department encourages residents to register their private surveillance cameras with the city. ,https://www.kold.com/2018/09/20/register-your-security-camera-with-tucson-police-help-solve-crime/,http://web.archive.org/web/20190820224702/https://www.kold.com/2018/09/20/register-your-security-camera-with-tucson-police-help-solve-crime/,New Article,KOLD,9/20/2018,,https://analytics-api.commandcentral.com/camera_registration#/agencies,http://paloverdeparkneighborhood.com/wp-content/uploads/2018/09/Surveillance-camera-registration.pdf,,http://web.archive.org/web/20190820225932/https://analytics-api.commandcentral.com/camera_registration,http://web.archive.org/web/20190820225933/http://paloverdeparkneighborhood.com/wp-content/uploads/2018/09/Surveillance-camera-registration.pdf,,,,,,,,
AZPIMA018,Tucson Police Department,Tucson,Pima County,AZ,Police,Municipal,Real-Time Crime Centers,,"According to Police Chief magazine, the Tucson Police Department's Real-Time Analytical Crime Center (TRACC) ""provides analytical support to the officers as they respond to calls and provides division commanders with predictive analyses of criminal activity and traffic accidents by examining trends and hotspots in particular areas. The analyses provided by the TRACC go beyond simple collection and disbursement of statistics and provide more detailed analyses of the motivations behind criminal activity."" A message from the TPD chief on Facebook further indicated that staff at TRACC monitor calls for service and live video feeds. ",https://www.policechiefmagazine.org/wp-content/uploads/PoliceChief_March_2017_WEB.pdf,http://web.archive.org/web/20190820224703/https://www.policechiefmagazine.org/wp-content/uploads/PoliceChief_March_2017_WEB.pdf,New Article,Police Chief magazine,3/1/2017,,https://www.facebook.com/TucsonPoliceDepartment/posts/chief-chris-magnus-updates-the-mayor-city-council-members-city-manager-and-commu/10153663603758531/,,,http://web.archive.org/web/20190820225934/https://www.facebook.com/TucsonPoliceDepartment/posts/chief-chris-magnus-updates-the-mayor-city-council-members-city-manager-and-commu/10153663603758531/,,,,,,,,,
AZPIMA030,U.S. Customs and Border Protection, Tohono O'odham Nation,Pima County,AZ,Federal agency,Federal,Integrated Fixed Towers,Elbit Systems of America,CBP plants to build 10 intergated fixed tower systems systems across the Tohono O'odham Nation reservation. These towers are 160 feet tall and can monitor every person and vehicle within a 7.5 mile radius. These towers use a TORCH operating system that uses artificial intelligence to see what is recorded on IFTs.,https://theintercept.com/2019/08/25/border-patrol-israel-elbit-surveillance/,https://web.archive.org/web/20190827070237/https://theintercept.com/2019/08/25/border-patrol-israel-elbit-surveillance/,New Article,The Intercept,8/25/2019,,https://tucson.com/news/local/tohono-o-odham-nation-opposes-border-wall-allows-surveillance-towers/article_171090db-769e-5dd2-9d60-82d7f3fbc745.html,http://inthesetimes.com/article/21903/us-mexico-border-surveillance-tohono-oodham-nation-border-patrol,https://archinect.com/features/article/150049769/assessing-surveillance-infrastructures-of-security-in-the-tohono-o-odham-nation,http://web.archive.org/web/20190820225945/http://inthesetimes.com/article/21903/us-mexico-border-surveillance-tohono-oodham-nation-border-patrol,http://web.archive.org/web/20190820225946/https://archinect.com/features/article/150049769/assessing-surveillance-infrastructures-of-security-in-the-tohono-o-odham-nation ,http://web.archive.org/web/20190820224746/https://tucson.com/news/local/tohono-o-odham-nation-opposes-border-wall-allows-surveillance-towers/article_171090db-769e-5dd2-9d60-82d7f3fbc745.html,,,,,,,
