RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
CASD029,San Diego County Sheriff's Department,San Diego,San Diego County,CA,Sheriff,County,Drones,,"San Diego County Sheriff's Department had 10 drones as of October 2017, which it used in 70 cases over the previous year. ",https://www.govtech.com/public-safety/San-Diego-County-Sheriffs-Department-Expands-Drone-Program.html,http://web.archive.org/web/20190820224832/https://www.govtech.com/public-safety/San-Diego-County-Sheriffs-Department-Expands-Drone-Program.html,New Article,San Diego State University Police Department,10/30/2017,,,,,,,,,,,,,,
CASD044,San Diego County Sheriff's Department,San Diego,San Diego County,CA,Police,County,Ring/Neighbors,Ring,The San Diego County Sheriff's Department is able to request footage from residents' doorbell cameras through an agreement with Ring and its Neighbors app. ,https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,http://web.archive.org/web/20190820225028/https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,New Article,Voice of San Diego,7/24/2019,,,,,,,,,,,,,,
CASD051,San Diego Harbor Police Department,San Diego,San Diego County,CA,Police,Port,Automated License Plate Readers,Vigilant Solutions/3m,The San Diego Harbor Police uses both fixed and mobile automated license plate readers. ,https://www.muckrock.com/foi/san-diego-56/california-public-records-request-license-plate-readers-san-diego-harbor-police-department-66881/,https://web.archive.org/web/20190909220656/https://www.muckrock.com/foi/san-diego-56/california-public-records-request-license-plate-readers-san-diego-harbor-police-department-66881/,Public Records,Aaron Swartz Day Surveillance Project,4/3/2016,,https://pantheonstorage.blob.core.windows.net/public-safety/Compliance-with-SB34-Licence-Plate-Recognition-Systems.pdf,,,http://web.archive.org/web/20190820225051/https://pantheonstorage.blob.core.windows.net/public-safety/Compliance-with-SB34-Licence-Plate-Recognition-Systems.pdf,,,,,,,,,
CASD066,San Diego Harbor Police Department,San Diego,San Diego County,CA,Police,Port,Drones,DJI,The San Diego Harbor Police began its unmanned aerial systems program in 2018 with the acquisition of DJI drones. ,https://www.muckrock.com/foi/san-diego-56/california-public-records-request-unmanned-aeriel-vehicles-san-diego-harbor-police-department-66611/files/,https://www.muckrock.com/foi/san-diego-56/california-public-records-request-unmanned-aeriel-vehicles-san-diego-harbor-police-department-66611/files/,Public Records,Aaron Swartz Day Surveillance Project,2/13/2019,,,,,,,,,,,,,,
CASD045,San Diego Law Enforcement Coordination Center,San Diego,San Diego County,CA,Task force/other joint agency,Cross-Jurisdictional,Fusion Center,Palantir Technologies,"The San Diego Law Enforcement Coordination Center (SDLECC) is one of 79 “fusion centers” nationwide that conducts large scale intelligence analysis and information sharing between local, state, and federal agencies.  Gotham software, which was purchased for SDLECC by the San Diego County Sheriff’s Department in 2013, currently contains 53-million data “objects.""Over the next three years, San Diego County will spend $493,000 on system maintenance. ",https://www.documentcloud.org/documents/6360022-San-Diego-Palantir-Docs.html,,Public Records,County of San Diego,5/14/2013,,,,,,,,,,,,,,
CASD031,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Automated License Plate Readers,Vigilant Solutions/3M,San Diego Police Department has 31 vehicles equipped with automated license plate readers. ,https://www.documentcloud.org/documents/4952879-San-Diego-Police-Department-Hit-Ratio-Report-2017.html,https://www.documentcloud.org/documents/4952879-San-Diego-Police-Department-Hit-Ratio-Report-2017.html ,Public Records,San Diego Police Department,4/23/2018,,https://www.sandiego.gov/sites/default/files/sb34compliance.pdf,https://cdn.muckrock.com/foia_files/2019/02/15/PRA2019-23420SDPD20LPR20List.pdf,,https://web.archive.org/web/20190906152858/https://www.sandiego.gov/sites/default/files/sb34compliance.pdf,https://web.archive.org/web/20190906153222/https://cdn.muckrock.com/foia_files/2019/02/15/PRA2019-23420SDPD20LPR20List.pdf,,,,,,,,
CASD035,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Body-worn Cameras,Axon,The San Diego Police Department uses Axon body-worn cameras. ,https://www.sandiego.gov/sites/default/files/149.pdf,http://web.archive.org/web/20190820224916/https://www.sandiego.gov/sites/default/files/149.pdf,Policy/Procedure,San Diego Police Department,9/26/2017,,,,,,,,,,,,,,
CASD043,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Camera Network,GE/City IQ,"The City of San Diego has installed thousands of sensors, including audio and video, on streetlamps throughout the city. Police may access the video within five days of a reported crime. ",https://www.sandiegouniontribune.com/news/public-safety/story/2019-08-04/san-diego-police-ramp-up-use-of-streetlamp-cameras-to-crack-cases-privacy-groups-raise-concerns,http://web.archive.org/web/20190820225026/https://www.sandiegouniontribune.com/news/public-safety/story/2019-08-04/san-diego-police-ramp-up-use-of-streetlamp-cameras-to-crack-cases-privacy-groups-raise-concerns,New Article,San Diego State University Police Department,8/5/2019,,https://www.sandiego.gov/sustainability/energy-and-water-efficiency/programs-projects/smart-city,,,https://web.archive.org/web/20190909221636/https://www.sandiego.gov/sustainability/energy-and-water-efficiency/programs-projects/smart-city,,,,,,,,,
CASD057,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Camera Network,,"In 2010, the San Diego Police Department launched ""Operation Secure San Diego,"" a program that encouraged private individuals and businesses to share their live surveillance video feeds directly with police. Although 40 different locations shared their feeds with SDPD, the agency was unable to get the program off the ground due to technical difficulties. ",https://www.voiceofsandiego.org/topics/news/with-operation-secure-san-diego-sdpd-is-doing-more-watching-and-less-talking/,https://web.archive.org/web/20190617074953/https://www.voiceofsandiego.org/topics/news/with-operation-secure-san-diego-sdpd-is-doing-more-watching-and-less-talking/,New Article,Voice of San Diego ,8/18/2014,,ttps://www.sandiego.gov/sites/default/files/legacy/police/pdf/operationsecuresd.pdf https://www.eff.org/deeplinks/2014/07/operation-secure-san-diego https://www.voiceofsandiego.org/topics/news/san-diegos-bumbling-big-brother/,https://www.eff.org/deeplinks/2014/07/operation-secure-san-diego https://www.voiceofsandiego.org/topics/news/san-diegos-bumbling-big-brother/,,https://web.archive.org/web/20190906161510/https://www.sandiego.gov/sites/default/files/legacy/police/pdf/operationsecuresd.pdf,https://web.archive.org/web/20190909215302/https://www.eff.org/deeplinks/2014/07/operation-secure-san-diego,https://web.archive.org/web/20190909215510/https://www.voiceofsandiego.org/topics/news/san-diegos-bumbling-big-brother/,,,,,,,
CASD052,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Cell-site Simulators,Harris Corporation,"San Diego Police Department has two portable celll-site simulators devices and one that mounts onto a vehicle. Between 2010 and 2016, the devices were used in 26 investigations.",https://www.nbcsandiego.com/news/local/SDPD-Used-Cell-Phone-Tracking-Technology-to-Help-With-26-Investigations-Docs-372691142.html,https://web.archive.org/web/20160406060646/https://www.nbcsandiego.com/news/local/SDPD-Used-Cell-Phone-Tracking-Technology-to-Help-With-26-Investigations-Docs-372691142.html,New Article,NBC San Diego,3/19/2016,,https://www.sandiego.gov/sites/default/files/sb741compliance.pdf https://firstamendmentcoalition.org/2016/02/fac-in-cpra-suit-against-san-diego-obtains-previously-secret-records-on-sdpds-use-of-controversial-cell-phone-surveillance-tool/,https://firstamendmentcoalition.org/2016/02/fac-in-cpra-suit-against-san-diego-obtains-previously-secret-records-on-sdpds-use-of-controversial-cell-phone-surveillance-tool/,,https://web.archive.org/web/20190825224514/https://firstamendmentcoalition.org/2016/02/fac-in-cpra-suit-against-san-diego-obtains-previously-secret-records-on-sdpds-use-of-controversial-cell-phone-surveillance-tool/,https://web.archive.org/web/20160404141533/https://www.sandiego.gov/sites/default/files/sb741compliance.pdf,,,,,,,,
CASD067,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Drones,DJI,"The San Diego Police Department has seven drones: four DJI Phantoms, two DJI Novas, and one DJI Matrice. ",https://www.muckrock.com/foi/san-diego-56/california-public-records-request-unmanned-aeriel-vehicles-san-diego-police-department-66592/#comms,https://web.archive.org/web/20190909221335/https://www.muckrock.com/foi/san-diego-56/california-public-records-request-unmanned-aeriel-vehicles-san-diego-police-department-66592/,Public Records,Aaron Swartz Day Surveillance Project,2/15/2019,,,,,,,,,,,,,,
CASD035,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Gunshot detection,ShotSpotter,"The San Diego Police Department installed ShotSpotter gunshot detection systems in Valencia Park, Skyline, O’Farrell and Lincoln Park in 2016. ",https://www.govtech.com/public-safety/Gunshot-Detection-System-Goes-Live-in-San-Diego.html,http://web.archive.org/web/20190820224803/https://www.govtech.com/public-safety/Gunshot-Detection-System-Goes-Live-in-San-Diego.html,New Article,San Diego Union Tribune,11/23/2016,,,,,,,,,,"The department announces the new use of technology, but includes public opinion and the disadvantages as well. ",,,,
CASD058,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Mobile Surveillance Vehicle,Terrahawk,"The TerraHawk Mobile Utility Surveillance Tower (MUST) is a van with an observation compartment on top that can be lifted 25-feet in the air. The San Diego Police Department acquired a MUST for $200,00 in 2011. It is deployed at public events such as San Diego Comic-Con.",https://cdn.muckrock.com/outbound_attachments/morisy/40580/PRA20Request20202317-200020Aug20292C202017.pdf,https://web.archive.org/web/20190906165208/https://cdn.muckrock.com/outbound_attachments/morisy/40580/PRA20Request20202317-200020Aug20292C202017.pdf,Public Records,San Diego Police Department,2011,,,,,,,,,,,,,,
CASD059,San Diego Police Department,San Diego,San Diego County,CA,Police,Municipal,Surveillance Trailer,Absolute Surveillance,"In 2013, the San Diego Police Department purchased 3 mobile surveillance trailers for $10,434.  They are deployed at public events such as San Diego Comic-Con.",https://cdn.muckrock.com/outbound_attachments/morisy/40580/PRA20Request20202317-200020Aug20292C202017.pdf,https://web.archive.org/web/20190906165208/https://cdn.muckrock.com/outbound_attachments/morisy/40580/PRA20Request20202317-200020Aug20292C202017.pdf,Public Records,San Diego Police Department,2013,,,,,,,,,,,,,,
CASD013,San Diego State University Police Department,San Diego,San Diego County,CA,Police,University,Body-worn Cameras,,The San Diego State University Police Department uses body-worn cameras. The agency uses the same policy as the rest of the California State University police departments.,http://police.sdsu.edu/documents/Body_Worn_Camera%20Policy.pdf,http://web.archive.org/web/20190820224834/http://police.sdsu.edu/documents/Body_Worn_Camera%20Policy.pdf,Policy/procedure document,San Diego State University Police Department,5/17/2017,,,,,,,,,,,,,,
CASD064,U.S. Border Patrol: San Diego Sector,San Diego,San Diego County,CA,Federal agency,Federal,Integrated Fixed Towers,Elbit Systems of America,An Integrated Fixed Tower System (IFT) consists of radars and cameras mounted on stationary towers.  A 2018 U.S. Patrol presentation indicates that 2 IFTs are located in the San Diego sector.,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
CASD060,U.S. Border Patrol: San Diego Sector,San Diego,San Diego County,CA,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the San Diego sector.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
CASD065,U.S. Border Patrol: San Diego Sector,San Diego,San Diego County,CA,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 41 RVSS located in the San Diego sector. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
CASD030,University of California San Diego Police Department,San Diego,San Diego County,CA,Police,University,Gunshot detection,Shotspotter,"The University of California San Diego Police Department installed ShotSpotter gunshot detection technology on campus in 2017. The initial installation cost $46,000, with a recurring annual fee of $71,000.",https://www.nbcsandiego.com/news/local/New-Technology-at-UC-San-Diego-Promises-a-Quick-Emergency-Response--430455973.html,http://web.archive.org/web/20190820224908/https://www.nbcsandiego.com/news/local/New-Technology-at-UC-San-Diego-Promises-a-Quick-Emergency-Response--430455973.html,New Article,NBC San Diego,6/23/2017,,,,,,,,,,,,,,
CASD101,Customs and Border Protection ,San Diego ,San Diego County ,CA,Federal Agency,Federal,Surveillance Towers,Anduril ,"Anduril is currently working on a new ""Sentry Tower"" pilot program with Customs and Border Protection (CBP). Anduril’s border work was previously limited to a CBP pilot near San Diego and some unofficial testing at a private ranch outside of El Paso, Texas. CBP has acquired 18 more Anduril towers that it plans to deploy in Texas.",https://www.thedailybeast.com/anduril-palmer-luckeys-secretive-defense-company-is-booming-under-trump,https://web.archive.org/web/20191019005505/https://www.thedailybeast.com/anduril-palmer-luckeys-secretive-defense-company-is-booming-under-trump,News Article ,Daily Beast,8/5/2019,,,,,,,,,,,,,,
CASD102,San Diego County Sheriff's Office,Lemon Grove,San Diego County ,CA,Sheriff,County,Camera Network,Genetec,The San Diego County Sheriff's Office approved a program to install live surveillance cameras in Promenade Park in Lemon Grove that can be monitored from mobile devices. The program is a pilot that may be expanded to other areas.,https://www.sandiegouniontribune.com/communities/east-county/story/2019-10-07/lemon-grove-sheriffs-department-rolling-out-pilot-camera-surveillance-program,https://web.archive.org/web/20191009173936/https://www.sandiegouniontribune.com/communities/east-county/story/2019-10-07/lemon-grove-sheriffs-department-rolling-out-pilot-camera-surveillance-program,News Article,San Diego Union Tribune,10/7/2019,,,,,,,,,,,,,,
NMDANA007,Dona Ana County Sheriff's Office,Las Cruces,Dona Ana County,NM,Sheriff,County,Automated License Plate Readers,,"In May 2017, the Dona Ana County Board of County Commissioners approved the $161,000 purchase of three ALPR speed trailers. The trailers are used in school zones and what the county calls “other areas of high public safety interest.”",https://www.documentcloud.org/documents/6270672-Dona-Ana-County-BOCC-MAY-23-2017-PACKET.html#document/p383,http://web.archive.org/web/20190820224417/https://www.documentcloud.org/documents/6270672-Dona-Ana-County-BOCC-MAY-23-2017-PACKET.html,Public Records,Dona Ana County Board of County Commissioners Agenda ,5/23/2017,,https://donaanacounty.org/bocc/video/ondemand/372,,,http://web.archive.org/web/20190820225840/https://donaanacounty.org/bocc/video/ondemand/372,,,,,,,,,
NMDANA005,Dona Ana County Sheriff's Office,Las Cruces,Dona Ana County,NM,Sheriff,County,Body-worn Cameras,,"The Dona Ana County Budget for 2018 included $25,022 for body-worn cameras. ",https://www.donaanacounty.org/sites/default/files/pages/2018-2019_Final_Budget.pdf,http://web.archive.org/web/20190820224407/https://www.donaanacounty.org/sites/default/files/pages/2018-2019_Final_Budget.pdf,Public Records,Dona Ana County Government Center Final Budget,7/9/2018,,,,,,,,,,,,,,
NMDANA006,Dona Ana County Sheriff's Office,Las Cruces,Dona Ana County,NM,Sheriff,County,Face Recognition,OD Tactical Eyewear USA,"The Dona Ana County Sheriff’s Department purchased $50,000 worth of surveillance products from OD Tactical Eyewear USA. This eyewear has audio, visual, and facial recognition technology, according to OD Tactical Eyewear Ltd. The department claims that the eyewear will be used by SWAT officers for high risk warrant search and apprehension of suspects. The department also bought from this company 30 OD Tactical Black Ops Ballistic AntiFog Closed Lenses, and five OD Tactical AnyVision Facial Recognition applications. Although the purchase agreement is dated 2017, it is unclear whether the technology was ever deployed in the field.\",https://www.donaanacounty.org/sites/default/files/pages/OD_Tactical_Eyewear_Sole_Source.pdf,http://web.archive.org/web/20190820224414/https://www.donaanacounty.org/sites/default/files/pages/OD_Tactical_Eyewear_Sole_Source.pdf,Public Records,Dona Ana County Sheriff's Department,11/16/2017,,,,,,,,,,,,,,
NMDANA004,Dona Ana County Sheriff's Office,Las Cruces,Dona Ana County,NM,Sheriff,County,Iris scanning,Bi2 Techonologies,"The Dona Ana County Sheriff’s Office uses Bi2 Technologies iris scanning devices to document and identify jail inmates. This system was showcased by the company at the Southwest Border Sheriff's Coalition conference in Las Cruces, where the Dona Ana County Sheriff’s Office accepted a one-camera donation from the company. The sheriff’s office purchased the other camera for $14,000.",https://kfoxtv.com/news/local/dona-ana-county-to-receive-iris-scanning-technology,http://web.archive.org/web/20190820224407/https://kfoxtv.com/news/local/dona-ana-county-to-receive-iris-scanning-technology,New Article,KFOX14,4/10/2018,,,,,,,,,,,,,,
NMDANA009,Dona Ana County Sheriff's Office,Las Cruces,Dona Ana County,NM,Sheriff,County,Mobile Surveillance Vehicle,Strong Watch Corporation,"In 2013, the Dona Ana County Sheriff’s Department purchased pick-up truck-mounted camera systems called “Freedom On-The-Move” from the Strongwatch Corporation. In 2016, the sheriff approved a $138,750 upgrade that included outfitting the systems with thermal imaging. According to the contracting documents, the sheriff uses the technology in responding to bomb threats, missing person cases, and for border security projects. ",https://donaanacounty.org/sites/default/files/pages/SoleSource_StrongwatchCorp.pdf,http://web.archive.org/web/20190820224419/https://donaanacounty.org/sites/default/files/pages/SoleSource_StrongwatchCorp.pdf,Public Records,Dona Ana County Sheriff's Department,3/9/2016,,,,,,,,,,,,,,
NMDANA008,Las Cruces Police Department,Las Cruces,Dona Ana County,NM,Police,Municipal,Body-worn Cameras,Axon,"In 2015, the Las Cruces Police Department spent $320,000 on 72 Axon Flex cameras. 
",https://www.abqjournal.com/564857/las-cruces-police-officers-to-be-outfitted-with-body-cameras.html,http://web.archive.org/web/20190820224416/https://www.abqjournal.com/564857/las-cruces-police-officers-to-be-outfitted-with-body-cameras.html,New Article,Albuquerque Journal,4/4/2015,,,,,,,,,,,,,,
NMDANA011,New Mexico State University Police Department ,Las Cruces,Dona Ana County,NM,Police,Municipal,Drones,,"NMSU Police DEpartment's drone program has been running since 2017 and is used to investigate serious crashes, for search and rescue operations, and to monitor traffic conditions. ",https://www.facebook.com/NMSUPolice/posts/a-big-thank-you-to-aaron-lopez-eagle-scout-candidate-from-troop-64-for-designing/2562328923798230/,,Gov Social Media Account,NMSU Police Facebook ,7/9/2019,,,,,,,,,,,,,,
NMDANA001,Sunland Park Police Department,Sunland Park,Dona Ana County,NM,Police,Municipal,Body-worn Cameras,,"The Sunland Park City Council approved the purchase of 25 body-worn cameras for the police department for $23,425, with plans to seek reimbursement from the New Mexico Municipal League. ",https://kfoxtv.com/news/local/sunland-park-police-officers-will-soon-gear-up-with-body-cams-01-20-2016,http://web.archive.org/web/20190820224403/https://kfoxtv.com/news/local/sunland-park-police-officers-will-soon-gear-up-with-body-cams-01-20-2016,New Article,KFOX14,9/2/2015,,,,,,,,,,,,,,
NMLUN001,U.S. Customs and Border Protection,Deming,Luna County,NM,Federal agency,Federal,Tethered Aerostat Radar System,,"U.S. Customs and Border Protection ""Tethered Aerostat Radar Systems"" (TARS) are unmanned, unarmed blimps used for surveillance. One of the six aerostats along the U.S.-Mexico border is moored near Deming, New Mexico. ",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats ,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXBRW001,Brewster County Sheriff's Office,Alpine,Brewster County,TX,Sheriff,County,Drones,DJI,"The Brewster County Sheriff's Office uses a DJI drone for search and rescue operations, crash investigations, and other ""direct action investigations.""  However, the Sheriff says the drone will not be used for routine patrol or surveillance activities. It was donated by the local American Legion chapter. ",http://archives.etypeservices.com/Bigbend1/Magazine252556/Publication/Magazine252556.pdf,http://archives.etypeservices.com/Bigbend1/Magazine252556/Publication/Magazine252556.pdf,New Article,The Big Bend Sentinel,12/30/2018,,https://www.facebook.com/brewstercountytx/posts/sheriff-dodson-and-sergeant-roach-were-on-hand-monday-night-to-receive-a-dji-dro/2231689296855470/,,,http://web.archive.org/web/20190820225809/https://www.facebook.com/brewstercountytx/posts/sheriff-dodson-and-sergeant-roach-were-on-hand-monday-night-to-receive-a-dji-dro/2231689296855470/,,,,,,,,,
TXBRW002,Brewster County Sheriff's Office,Alpine,Brewster County,TX,Sheriff,County,Mobile Surveillance Vehicle,Terrahawk,"The TerraHawk Mobile Utility Surveillance Tower (MUST) is a van with an observation compartment on top that can be lifted 25-feet in the air. Brewster County is one of at least five counties along the Texas border deployed the vehicles as of 2012. 
",https://bstc.ati.org/wp-content/uploads/2017/12/9_TerraHawk-LLC.pdf,https://web.archive.org/web/20190820224532/https://bstc.ati.org/wp-content/uploads/2017/12/9_TerraHawk-LLC.pdf,Company website or promotional materials,Terrahawk,2012,,,,,,,,,,,,,,
TXCAM006,Brownsville Fire Department,Brownsville,Cameron County,TX,Fire Department/Emergency Services,Municipal,Drones,,The Brownsville Fire Department acquired a drone in 2017 and has used it in operations involving the police department. ,http://web.archive.org/web/20190820225815/https://www.brownsvilleherald.com/news/local/brownsville-fire-department-adopts-drone-technology/article_c53f5a60-db9f-11e6-b6d3-4bfa5c3c142b.html,http://web.archive.org/web/20190820225815/https://www.brownsvilleherald.com/news/local/brownsville-fire-department-adopts-drone-technology/article_c53f5a60-db9f-11e6-b6d3-4bfa5c3c142b.html,New Article,The Brownsville Herald,1/15/2017,,,,,,,,,,,,,,
TXCAM005,Brownsville Police Department,Brownsville,Cameron County,TX,Police,Municipal,Body-worn Cameras,Axon,"The Brownsville City Commission approved a 5-year contract worth $671,319.34 for 140 body-worn cameras. ",http://bloximages.newyork1.vip.townnews.com/brownsvilleherald.com/content/tncms/assets/v3/editorial/9/d3/9d354d0e-3a51-11e5-8e20-ebebb018bc50/55c025980f2bb.pdf.pdf,http://web.archive.org/web/20190820224236/http://bloximages.newyork1.vip.townnews.com/brownsvilleherald.com/content/tncms/assets/v3/editorial/9/d3/9d354d0e-3a51-11e5-8e20-ebebb018bc50/55c025980f2bb.pdf.pdf,Public Records,City Commission of the City of Brownsville,8/4/2015,,https://www.documentcloud.org/documents/6377278-Brownsville-BWC.html,,,https://www.documentcloud.org/documents/6377278-Brownsville-BWC.html,,,,,,,,,
TXCAM011,Brownsville Police Department,Brownsville,Cameron County,TX,Police,Municipal,Camera Network,Xtreme Security,"In 2018, the Brownsville City Commission approved a $498,000 project to install 40 camera systems in the Main Street district. Each system has streams live and includes a 360-degree camera and a pan-tilt-zoom camera. ",https://www.brownsvilleherald.com/news/local/commissioners-approve-k-downtown-security-camera-contract/article_69024b83-fab4-5856-abed-9842f6d4a62d.html,http://web.archive.org/web/20190820224304/https://www.brownsvilleherald.com/news/local/commissioners-approve-k-downtown-security-camera-contract/article_69024b83-fab4-5856-abed-9842f6d4a62d.html,New Article,The Brownsville Herald,8/23/2018,,https://www.documentcloud.org/documents/6377279-Brownsville-Request-for-Proposal-Downtown.html,,,https://www.documentcloud.org/documents/6377279-Brownsville-Request-for-Proposal-Downtown.html,,,,,,,,,
TXCAM010,Brownsville Police Department/Brownsville Department of Public Health,Brownsville,Cameron County,TX,Police,Municipal,Automated License Plate Readers/Camera Network,Wireless CCTV,"The Brownsville Department of Public Health and Brownsville Police Department purchased $118,642.70 worth of security cameras to prevent illegal dumping. These camera include automated license plate recognition technology. ",https://www.cob.us/AgendaCenter/ViewFile/Item/567?fileID=9397,http://web.archive.org/web/20190820224251/https://www.cob.us/AgendaCenter/ViewFile/Item/567?fileID=9397,Public Records,City of Brownsville,3/7/2018,,https://www.cob.us/1893/Surveillance-Cameras,,,http://web.archive.org/web/20190820225819/https://www.cob.us/1893/Surveillance-Cameras,,,,,,,,,
TXCAM001,Cameron County Sheriff's Office,Olmito,Cameron County,TX,Sheriff,County,Body-worn Cameras,,Various Cameron County Constables precincts have adopted body-worn cameras. ,https://valleycentral.com/news/local/cameron-county-constable-precinct-5-to-purchase-body-cams-with-forfeiture-funds,http://web.archive.org/web/20190820224232/https://valleycentral.com/news/local/cameron-county-constable-precinct-5-to-purchase-body-cams-with-forfeiture-funds,New Article,Valley Central,5/24/2017,,https://www.brownsvilleherald.com/news/local/constables-office-seeks-body-cameras/article_b76bb03e-8045-11e5-8973-ff4d102d975a.html,,,http://web.archive.org/web/20190820224230/https://www.brownsvilleherald.com/news/local/constables-office-seeks-body-cameras/article_b76bb03e-8045-11e5-8973-ff4d102d975a.html,,,,,,,,,
TXCAM009,Cameron County Sheriff's Office,Brownsville,Cameron County,TX,Sheriff,County,Iris scanning,Bi2 Techonologies,"The Cameron County Sheriff's Office uses iris scanning technology in the county jail to scan and identify inmates. The ""Inmate Recognition Identification System"" system is part of a broader project coordinated by the Southwestern Border Sheriff’s Coalition. ",https://www.brownsvilleherald.com/premium/county-implements-new-iris-identification-system/article_57254382-71ae-11e7-8e60-935585834976.html,http://web.archive.org/web/20190820224246/https://www.brownsvilleherald.com/premium/county-implements-new-iris-identification-system/article_57254382-71ae-11e7-8e60-935585834976.html,New Article,The Brownsville Herald,7/25/2017,,https://www.brownsvilleherald.com/premium/sheriff-s-iris-scanning-system-should-be-operational-by-april/article_222a5426-1e5f-11e7-8d26-6b9ec8cf9b19.html,,,http://web.archive.org/web/20190820225817/https://www.brownsvilleherald.com/premium/sheriff-s-iris-scanning-system-should-be-operational-by-april/article_222a5426-1e5f-11e7-8d26-6b9ec8cf9b19.html,,,,,,,,,
TXCAM012,Laguna Vista Police Department,Laguna Vista,Cameron County,TX,Police,Municipal,Body-worn Cameras,Axon,"Laguna Vista police officers now have eight Axon body-worn cameras due to a $10,172 grant.",https://www.portisabelsouthpadre.com/2015/02/06/officers-to-wear-body-cameras/,http://web.archive.org/web/20190909220320/https://www.portisabelsouthpadre.com/2015/02/06/officers-to-wear-body-cameras/,New Article,Port Isabel Press,2/6/2015,,,,,,,,,,,,,,
TXCAM007,South Padre Island Police Department,South Padre Island,Cameron County,TX,Police,Municipal,Automated License Plate Readers,,The South Padre Island Police Department has installed automated license plate reader cameras on either side of the Queen Isabella Causeway bridge.,https://www.krgv.com/news/spi-police-to-use-license-plate-readers-at-causeway-entrances/,http://web.archive.org/web/20190820224242/https://www.krgv.com/news/spi-police-to-use-license-plate-readers-at-causeway-entrances/,New Article,KRGV,3/2/2018,,,,,,,,,,,,,,
TXCAM013,South Padre Island Police Department,South Padre Island,Cameron County,TX,Police,Municipal,Body-worn Cameras,,"The South Padre Island uses body-worn cameras, according to March 2018 press release. ",https://www.myspi.org/egov/documents/1519937313_36409.pdf,https://web.archive.org/web/20190909165350/https://www.myspi.org/egov/documents/1519937313_36409.pdf,Press Release,South Padres Island,3/1/2018,,,,,,,,,,,,,,
