Ref,Agency,City,County,State,TypeofLEA,TypeofJuris,Technology,Vendor,Summary,Link1,Link1Source,Link1Date,Link1DateComment,Link1Type,Link2,Link2Source,Link2Date,Link2DateComment,Link2Type,Link3,Link3Source,Link3Date,Link3DateComment,Link3Type,OtherLinks
EDU173,University of Chicago Police Department,Chicago,Cook County,IL,Police,University,Body-worn Cameras,,"As of 2019, 75 University of Chicago Police Department officers wear body-worn cameras.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,Illinois Law Enforcement Training and Standards Board,2019,,Annual report,,,,,,,,,,,
EDU174,University of Cincinnati Police Department,Cincinnati,Hamilton County,OH,Police,University,Body-worn Cameras,,The University of Cincinnati Police Department has been using body-worn cameras since at least 2015.,https://www.nbcnews.com/news/us-news/cincinnati-cop-ray-tensing-pleads-not-guilty-shooting-death-samuel-n400926,NBC News,7/31/2015,,News article,,,,,,,,,,,
EDU175,University of Colorado Boulder Police Department,Boulder,Boulder County,CO,Police,University,Body-worn Cameras,Axon,The  University of Colorado Boulder Police Department began using Axon body-worn cameras in 2019. ,https://www.colorado.edu/police/2019/08/22/cu-boulder-police-latest-department-deploy-body-worn-cameras,CU Boulders website,8/22/2019,,University website,https://www.denverpost.com/2019/08/05/cu-boulder-police-body-worn-cameras/,Denver Post,8/5/2019,,News article,https://www.justdial.com/JdSocial/news/1565047676343000,JustDial,8/6/2019,,News article,
EDU176,"University of Colorado, Boulder Police Department",Boulder,Boulder County,CO,Police,University ,Automated License Plate Readers,,"The University of Colorado, Boulder Police Department  office uses automated license plate readers for parking enforcement.",https://www.colorado.edu/pts/permits/parking-permits/facultystaff-permits/virtual-permits-faculty-staff,CU Boulder,,,University information,,,,,,,,,,,
EDU177,"University of Colorado, Colorado Springs Parking and Transportation Services",Colorado Springs,El Paso County,CO,Parking Enforcement,University ,Automated License Plate Readers,,"University of Colorado, Colorado Springs Parking and Transportation Services uses automated license plate readers. ",https://pts.uccs.edu/lpr-faqs,"University of Colorado, Colorado Springs Parking and Transportation Services",,,University information,,,,,,,,,,,
EDU178,University of Connecticut Parking Services,Storrs,Tolland County,CT,Parking Enforcement,University ,Automated License Plate Readers,NuPark,University of Connecticut Parking Services select NuPark to provide automated license plate recognition technology for permits and citations in 2019. ,https://park.uconn.edu/transportation-advisory-committee/,UConn Transporation Advisory Committee,3/12/2019,,Meeting documents,,,,,,,,,,,
EDU179,University of Connecticut Police Department,Storrs,Tolland County,CT,Police,University,Body-worn Cameras,,The University of Connecticut Campus Police began using body-worn cameras in 2016. ,https://www.ctpost.com/local/article/UConn-police-to-get-body-cameras-6842853.php,The Connecticut Post,2/20/2016,,News article,https://www.thehour.com/news/article/UConn-police-to-wear-body-cameras-7991036.php,The Hour/The Associated Press,2/19/2016,,News article,,,,,,
EDU180,University of Connecticut Police Department,Mansfield,Tolland County,CT,Police,University,Gunshot Detection,Verbi,The University of Connecticut Police Department began using gunshot detection technology in 2016. ,"https://today.uconn.edu/2016/06/new-technology-enhances-campus-security/#:~:text=The%20system%2C%20which%20has%20been,within%20a%20250%2Dyard%20range.&text=Verbi's%20representatives%20say%20that%20UConn,technology%20linked%20to%20mobile%20devices.",UConn Today,6/16/2016,,University information,,,,,,,,,,,
EDU181,University of Florida Police Department,Gainesville,Alachua County,FL,Police,University,Automated License Plate Readers,"Vigilant Solutions, NDI Recognition Systems",The University of Florida Police Department uses automated license plate readers. Vigilant Solutions ALPRs were installed 16 intersections surrounding the University's campus in 2020. Records show the university police also used NDI systems in 2017. ,https://news.ufl.edu/2020/10/lpr/,University of Florida News,10/7/2020,,News article,https://www.gainesville.com/story/news/local/2020/11/28/license-plate-readers-installed-near-university-florida-campus/6423509002/,The Gainesville Sun,11/28/2020,,News article,https://www.documentcloud.org/documents/7205775-NDI-FLORIDA-Automated-License-Plate-Readers.html#document/p12,Village of North Palm Beach,7/27/2017,,Government information,
EDU182,University of Florida Police Department,Gainsville,Alachua,FL,Police,University,Body-worn Cameras,Axon,The University of Florida Police Department uses Axon body-worn cameras.,https://www.facebook.com/UFPublicSafety/photos/3459577134116763,UFPD Facebook page,2/15/2020,,Social media,,,,,,,,,,,
